phase,question,trialNum,swatch,response,responseCoded,rt,subid,dateOfBirth,dateOfTest,age,timeOfTest,condition,englishExposure,gender,trialComments,sessionComments
practice,NA,1,apple_1,skip,NaN,13417,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,,
practice,NA,2,apple_2,skip,NaN,4035,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,,
practice,NA,3,apple_3,skip,NaN,2978,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,,
practice,NA,4,apple_1,skip,NaN,11790,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,,
study,do you think this one is an animal?,5,BI2A00009,YES,NaN,15903,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,,
study,do you think this one is an animal?,6,BI2A00039,NO,NaN,30861,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,definitely st very hard,
study,do you think this one is an animal?,7,BI2A00048,NO,NaN,15260,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,sweater,
study,do you think this one is an animal?,8,BI2A00001,YES,NaN,11940,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,raccooon,
study,do you think this one is an animal?,9,BI2A00023,NO,NaN,17932,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,yarn,
study,do you think this one is an animal?,10,BI2A00021,NO,NaN,18930,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,bread,
study,do you think this one is an animal?,11,BI2A00029,NO,NaN,14280,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,carpet,
study,do you think this one is an animal?,12,BI2A00011,YES,NaN,11170,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,elephant,
study,do you think this one is an animal?,13,BI2A00012,definitely NO,-2.5,24615,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,lots of hair on it,
study,do you think this one is an animal?,14,BI2A00024,YES,NaN,14562,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,porcupine,
study,do you think this one is an animal?,15,BI2A00042,definitely NO,-2.5,14215,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,water,
study,do you think this one is an animal?,16,BI2A00022,NO,NaN,14316,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,not really,
bonus,Do you think this can feel happy?,17,BI2A00048,NO,NaN,12507,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,because it,
bonus,Do you think this one can feel hungry?,18,BI2A00023,NO,NaN,6066,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,,
bonus,Do you think this one can sense things nearby?,19,BI2A00009,YES,NaN,11653,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,,
bonus,Do you think this one can feel hurt?,20,BI2A00022,skip,NaN,23161,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,,
bonus,Do you think this one has feelings?,21,BI2A00039,NO,NaN,7074,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,,
bonus,Do you think this one can think?,22,BI2A00011,YES,NaN,8480,p12,6/10/09,3/5/15,5.736986301,16:45,set4,,female,,
